"Name";"Description"
"BRAV.ST.ST";"Bravida"
"BRE2.ST.ST";"Bredband2"
"BRIGHT.ST.ST";"BrightBid"
"BRILL.ST.ST";"Brilliant Future"
"BRIN-B.ST.ST";"Brinova Fastigheter"
"BRIX.ST.ST";"Briox"
"BMC.ST.ST";"Brock Milton Capital"
"BTS-B.ST.ST";"BTS Group"
"BBROOM.ST.ST";"Bubbleroom"
"BUFAB.ST.ST";"Bufab"
"BULTEN.ST.ST";"Bulten"
"BURE.ST.ST";"Bure Equity"
"BMAX.ST.ST";"Byggmax"
"AJA-B.ST.ST";"Byggmästare AJ Ahlström"
"BYGGP.ST.ST";"Byggpartner"
"CAG.ST.ST";"CAG Group"
"CAMX.ST.ST";"Camurus"
"CANDLE-B.ST.ST";"Candles Scandinavia"
"CANTA.ST.ST";"Cantargia"
"CARA.ST.ST";"Carasent"
"CRBX.ST.ST";"Carbiotix"
"CARDEO.ST.ST";"Cardeon"
"CARE.ST.ST";"Careium"
"CASE.ST.ST";"Case Group"
"CAST.ST.ST";"Castellum"
"CAT-A.ST.ST";"Catella A"
"CAT-B.ST.ST";"Catella B"
"CATE.ST.ST";"Catena"
"CTM.ST.ST";"Catena Media"
"CCC.ST.ST";"Cavotec"
"CDON.ST.ST";"CDON"
"CEDER.ST.ST";"Cedergrenska"
"CI.ST.ST";"Cell Impact"
"CEVI.ST.ST";"CellaVision"
"CRNO-B.ST.ST";"Cereno Scientific"
"CHARGE.ST.ST";"ChargePanel"
"CHECK.ST.ST";"checkin.com"
"CHEF.ST.ST";"Cheffelo"
"CMOTEC-B.ST.ST";"ChemoTech"
"CMH.ST.ST";"Chordate Medical"
"CHOSA.ST.ST";"CHOSA Oncology"
"CIBUS.ST.ST";"Cibus Nordic"
"CINPHA.ST.ST";"Cinclus Pharma"
"CINIS.ST.ST";"Cinis Fertilizer"
"CINT.ST.ST";"Cint Group"
"CIRCHE.ST.ST";"CirChem"
"CIRCLE-B.ST.ST";"Circle Energy"
"CLAS-B.ST.ST";"Clas Ohlson"
"CLAV.ST.ST";"Clavister"
"CLEMO.ST.ST";"Clean Motion"
"CLEM.ST.ST";"Clemondo"
"CLIME-B.ST.ST";"Climeon"
"CLS-B.ST.ST";"Clinical Laserthermia"
"CLA-B.ST.ST";"Cloetta"
"CDMIL.ST.ST";"CodeMill"
"COEGIN.ST.ST";"Coegin Pharma"
"CS.ST.ST";"CoinShares"
"CX.ST.ST";"CombinedX"
"COMINT.ST.ST";"Comintelli"
"COMPDM.ST.ST";"Compodium"
"CNCJO-B.ST.ST";"Concejo B"
"CONDO.ST.ST";"Condo Nordic"
"CAM-B.ST.ST";"Consensus"
"COOR.ST.ST";"Coor Service Management"
