name, description
FSE/ALV_X,Allianz Se (ALV_X)
FSE/BAS_X,Basf Se (BAS_X)
FSE/BMW_X,Bmw St (BMW_X)
FSE/BEI_X,Beiersdorf Aktiengesellschaft (BEI_X)
FSE/DAI_X,Daimler (DAI_X)
FSE/ADS_X,Adidas (ADS_X)
