name, description
WIKI/AAPL,"Apple Inc (AAPL)"
WIKI/FB,"Facebook Inc. (FB)"
WIKI/FCX,"Freeport-McMoRan Inc (FCX)"
WIKI/FDO,"Family Dollar Stores, Inc. (FDO)"
WIKI/FDX,"FedEx Corp (FDX)"
