"Name";"Description"
"CAT-A.ST";"Catella A"
"CAT-B.ST";"Catella B"
"CATE.ST";"Catena"
"CTM.ST";"Catena Media"
"CCC.ST";"Cavotec"
"CDON.ST";"CDON"
"CEDER.ST";"Cedergrenska"
"CI.ST";"Cell Impact"
"CEVI.ST";"CellaVision"
"CRNO-B.ST";"Cereno Scientific"
"CHARGE.ST";"ChargePanel"
"CHECK.ST";"checkin.com"
"CHEF.ST";"Cheffelo"
"CMOTEC-B.ST";"ChemoTech"
"CMH.ST";"Chordate Medical"
"CHOSA.ST";"CHOSA Oncology"
"CIBUS.ST";"Cibus Nordic"
"CINPHA.ST";"Cinclus Pharma"
"CINIS.ST";"Cinis Fertilizer"
"CINT.ST";"Cint Group"
"CIRCHE.ST";"CirChem"
"CIRCLE-B.ST";"Circle Energy"
"CLAS-B.ST";"Clas Ohlson"
"CLAV.ST";"Clavister"
"CLEMO.ST";"Clean Motion"
"CLEM.ST";"Clemondo"
"CLIME-B.ST";"Climeon"
"CLS-B.ST";"Clinical Laserthermia"
"CLA-B.ST";"Cloetta"
"CDMIL.ST";"CodeMill"
"COEGIN.ST";"Coegin Pharma"
"CS.ST";"CoinShares"
"CX.ST";"CombinedX"
"COMINT.ST";"Comintelli"
"COMPDM.ST";"Compodium"
"CNCJO-B.ST";"Concejo B"
"CONDO.ST";"Condo Nordic"
"CAM-B.ST";"Consensus"
"COOR.ST";"Coor Service Management"
"CORE-A.ST";"Corem Property A"
"CORE-B.ST";"Corem Property B"
"CORE-D.ST";"Corem Property D"
"CLBIO.ST";"Corline Biomedical"
"CRAD-B.ST";"C-RAD"
"CRED-A.ST";"Creades"
"CRET.ST";"Creturner"
"CRWN.ST";"Crown Energy"
"CFISH.ST";"Crunchfish"
"CTEK.ST";"CTEK"
"CTT.ST";"CTT Systems"
"CYB1.ST";"Cyber Security 1"
"CYCLE.ST";"Cyclezyme"
"DE.ST";"Dala Energi"
"DEDI.ST";"Dedicare"
"DSNO.ST";"Desenio"
"DEVP-B.ST";"DevPort"
"DVYSR.ST";"Devyser Diagnostics"
"DEX.ST";"DexTech Medical"
"DIAH.ST";"Diadrom"
"DIABIO.ST";"Diagonal Bio"
"DMYD-B.ST";"Diamyd Medical"
"DICOT.ST";"Dicot Pharma"
"DIST.ST";"DistIT"
"DMXSE-SDB.ST";"District Metals"
"DIV-B.ST";"Dividend Sweden"
"DIVIO-B.ST";"Divio Technologies"
"DIOS.ST";"Diös Fastigheter"
