name;description
DONE;Done.ai
DORO;Doro
DBP B;Double Bond Pharma
DOXA;Doxa
DRIL;Drillcon
DUG;Dug Foodtech
DUNI;Duni
DURC B;Duroc
DUST;Dustin Group
DYVOX;Dynavox Group
EAST;Eastnine
EASY B;EasyFill
EATG;EatGood
ECC B;Ecoclime
ECOMB;ECOMB
ECO B;EcoRub
EDYOU;Edyoutec
ALBERT;eEducation Albert
EEVIA;Eevia Health
EFFH;Effnetplattformen
EGTX;Egetis Therapeutics
ELAN B;Elanders
SX651010PI;Electricity
ELUX A;Electrolux A
ELUX B;Electrolux B
EPRO B;Electrolux Professional B
SX502020PI;Electronic Equipment
EKTA B;Elekta
ELIC;Elicera Therapeutics
ELN;Ellen
ELLWEE;ELLWEE
ELON;Elon
ELTEL;Eltel
EMB;EMB Mission Bound
EMART;EmbeddedArt
EMBELL;Embellence
EMBRAC B;Embracer
EG7;Enad Global 7
ENEA;Enea
ESGR B;Energy Save
ENERS;Enersize
ENGCON B;Engcon
ENRO;Eniro
ENITY;Enity
ERMA;Enorama Pharma
ENRAD;Enrad
ENVAR;Envar
ENVI B;Envirologic
ENZY;Enzymatica
EOLU B;Eolus
EPEN;Ependion
EPI A;Epiroc A
EPI B;Epiroc B
EPIS B;Episurf Medical
EQL;EQL Pharma
EQT;EQT
ERIC A;Ericsson A
ERIC B;Ericsson B
ESSITY A;Essity A
ESSITY B;Essity B
BAT;Eurobattery Minerals
EVERY;Everysport
EVOL;Evolear
EVO;Evolution
EWRK;eWork
EXALT;Exalt
EXPRS2;ExpreS2ion Biotech
EXS;Exsitec
EYEW;Eye World
FABG;Fabege
FABLE;Fable Media
FAG;Fagerhult
FG;Fasadgruppen
BALD B;Fast Balder
FASTAT;Fastator
EMIL PREF;Fastighetsbolag Emilshus Pref
EMIL B;Fastighetsbolaget Emilshus
FPAR A;Fastpartner A
FPAR D;Fastpartner D
FOI B;Fenix Outdoor
FERRO;Ferroamp
FNM;Ferronordic
SX302010PI;Finance & Credit Services
SX3020PI;Financial Services
FINE;Finepart
FING B;Fingerprint Cards
FIRE;Firefly
FNMC SDB;First Nordic Metals
FIRSTNORTHSEK;First North All
FIRST B;First Venture
FLAT B;Flat Capital
FLMNG;Fleming Properties
FLERIE;Flerie
FLEXM;Flexion Mobile
FLEXQ;Flexqube
FLOWS;Flowscape
FLUI;Fluicell
FLUO;FluoGuide
FMM B;FM Mattsson
SX4510PI;Food & Beverage
SX451020PI;Food Producers
FPIP;Formpipe Software
FNOVA B;Fortinova
FNOX;Fortnox
FRACTL;Fractal Gaming
FRAG;Fragbite
FRAM B;Fram Skandinavien
F2M;Free2Move
FREEM;Freemelt
FREJA;Freja eID
FRILAN;Frilans
FRNT B;Front Ventures
FRWA B;Frontwalker
FSPORT;FSport
FXI;FX International
G5EN;G5 Entertainment
GABA;Gabather
THRILL;Gamethrill
GCOR;Gaming Corps
GAPW B;Gapwaves
GARO;Garo
GARPCO B;Garpco
GPX;Gasporox
SX502030PI;General Industrials
GENI;Generic Sweden
GPG;Genova Property
GENO;Genovis
G2M;Gentoo Media
GETI B;Getinge
GIG SDB;GiG Software
GIGA;Gigasun
GTAB B;Glycorex Transplantation
GTG;Gold Town Games
GOMERO;Gomero Group
GOMX;GomSpace
BTCX;Goobit Group
GBK;Goodbye Kansas
GOSOL;Gosol Energy
GOTL A;Gotlandsbolaget A
GOTL B;Gotlandsbolaget B
GRANGX;Grangex
GREAT;Greater Than
GREEN;Green Landscaping
GMERC B;Greenmerc
VISC;Gruvaktiebolaget Viscaria
GRNG;Gränges
GUARD;Guard Therapeutics
GGEO;Guideline Geo
GJAB;Gullberg & Jansson
HDW B;H&D Wireless
H100;H100 Group
HACK;Hacksaw
HAKI A;HAKI Safety A
HAKI B;HAKI Safety B
HAMLET B;Hamlet BioPharma
SHB A;Handelsbanken A
SHB B;Handelsbanken B
HNSA;Hansa Biopharma
HANZA;Hanza
HAV B;Havsfrun Investment
HAYPP;Haypp Group
SX201010PI;Health Care Providers
HEBA B;Heba
HEGR;Hedera
HEIM PREF;Heimstaden Pref
HELIO;Heliospectra
HEM;Hemnet
HMPLY;Hemply Balance
HM B;Hennes & Mauritz
HERNO B;Hernö Gin
HEXA B;Hexagon
HTRO;Hexatronic
HEXI;Hexicon
HPOL B;Hexpol
HIFA B;Hifab
HIGHCO B;High Coast Distillery
HILB B;Hilbert Group
HMS;HMS Networks
HOI B;Hoi Publishing
HOFI;Hoist Finance
HOLDFL;Holdflight
HOLM A;Holmen A
HOLM B;Holmen B
HOME B;HomeMaid
HOODIN;Hoodin
HOTEL;Hotel Fast
SX402020PI;Household Goods
HUBS;Hubbster
HUBSO;Hubso Group
HUFV A;Hufvudstaden A
HUM;Humana
HUMBLE;Humble Group
HUNTER;Hunter Capital
HUSQ A;Husqvarna A
HUSQ B;Husqvarna B
HYCO;Hybricon
LOVE B;I Love Lund
IAR B;I.A.R Systems
ICO;Iconovo
IDLDX;IDL Diagnostics
IDUN B;Idun Industrier
ABI;Igrene
IS;Image Systems
IMMNOV;Immunovia
IMPC;Impact Coatings
IMP A SDB;Implantica
INCOAX;InCoax Networks
SX502040PI;Industrial Engineering
SX5020PI;Industrial Goods & Services
SX551010PI;Industrial Materials
SX551020PI;Industrial Metals & Mining
SX502050PI;Industrial Support Services
SX502060PI;Industrial Transportation
INDU A;Industrivärden A
INDU C;Industrivärden C
INDT;Indutrade
IBT B;Infant Bacterial
INFRA;Infracom
INFREA;Infrea
ISAB;Inhalation Sciences
INISS B;Inission
INIT;Initiator Pharma
INSP;Insplorion
INSTAL;Instalco
SX3030PI;Insurance
INTEA B;Intea Fastigheter B
INTEA D;Intea Fastigheter D
INTEG B;Integrum
INT;Intellego Technologies
IPCO;International Petroleum
IVACC;Intervacc
INTRUM;Intrum
IMS;Invent Medic
SX302020PI;Investment Banking
INVE A;Investor A
INVE B;Investor B
INWI;Inwido
IVSO;Invisio
IRIS;Irisity
IRLAB A;IRLAB Therapeutics
ISOFOL;Isofol Medical
ITAB;ITAB Shop Concept
ITECH;I-Tech
IZAFE B;iZafe
JLT;JLT Mobile
JM;JM
JOBS;Job Solution Sweden
JOMA;John Mattson
JDT;JonDeTech Sensors
GATE;Jumpgate
K2A B;K2A
K2A PREF;K2A Knaust & Andersson Pref
K33;K33
KABE B;Kabe
KAKEL;Kakel Max
KAPIAB;Kallebäck Property
KAMBI;Kambi
KAN;Kancera
KARNEL B;Karnell Group
KAR;Karnov
KDEV;Karolinska Development
KAV;Katalysen Ventures
KBC;KB Components
KEBNI B;KebNi
KENH;Kentima
KFAST B;K-Fast Holding
KILI;Kiliaro
BRAVE;Kinda Brave
KINV A;Kinnevik A
KINV B;Kinnevik B
KJELL;Kjell Group
KLARA B;KlaraBo
KLAR;Klaria Pharma
KLIMAT;Klimator
KNOW;KnowIT
KONT;Kontigo Care
KOBR B;Kopparbergs
KRONA;Krona Public Real Estate
KVIX;Kvix
LAGR B;Lagercrantz
LAMM B;Lammhults Design
LGOLD B;Lappland Guldprospektering
LATO B;Latour
LATF B;Latvian Forest
LEA;Lea Bank
LEMSE;Leading Edge Materials
SX402030PI;Leisure Goods
LEVBIO;Level Bio
LIDDS;LIDDS
LIFCO B;Lifco
LCLEAN;Lifeclean
LAIR;LightAir
LIGR;Lightning Group
LIME;Lime Technologies
LINC;Linc
LIAB;Lindab
LINKAB;Link Prop
LPGO;Lipigon Pharmaceuticals
LIPUM;Lipum
LITI;Litium
LOGI A;Logistea A
LOGI B;Logistea B
LOGIST;Logistri
LOHILO;Lohilo Foods
LOOMIS;Loomis
LOVI;Lovisagruvan
LOYAL;Loyal Solutions
LUC;Lucara Diamond
LUMEN;LumenRadio
LUMITO;Lumito
LUND B;Lundbergföretagen
LUG;Lundin Gold
LUMI;Lundin Mining
LXB;Luxbright
LYGRD;Lyckegård
LYKO A;Lyko
MAGI;MAG Interactive
MAGLE;Magle Chemoswed
MAGNA;Magnasense
MAHA A;Maha Energy
MAHVIE;Mahvie Minerals
MEAB B;Malmbergs Elektriska
MANG;Mangold
MANTEX;Mantex
MASHUP;Mashup Ireland
MAVEN;Maven Wireless
MAV;Mavshack
MAXENT B;Maximum Entertainment
MCAP;MedCap
MCLR;Medclair
MEDHLP;Medhelp Care
SX4030PI;Media
MEGR;Mediacle
SX201020PI;Medical Equipment
MCOV B;Medicover
MEDIMI;Medimi
MVIR;Medivir
MEKO;MEKO
IMMU;Mendus
MNTC;Mentice
MER;Meren Energy
META;Metacon
MSAB B;Micro Systemation
MPOS;Micropos Medical
MSON A;Midsona A
MSON B;Midsona B
MIDS;Midsummer
MILDEF;Mildef Group
MNDRK;MindArk
MINEST;Minesto
MIPS;Mips
MIR;Miris
MOBA;MOBA Network
